t,name,x,y,heading,v,rudder,throttle,alpha
0.0,lead,7590.563356190745,6236.268982395612,2.6044139275968066,797.8393958146152,0.0,0.0,0.037027160081059704
0.0,wingman,10842.455715581737,2046.8319755431276,1.6505824278807955,883.996809739825,0.06672022,19.54602,0.037027160081059704
1.0,lead,6906.577861631253,6643.6511944735175,2.6044103738747637,796.1920127223876,0.0,0.0,0.0004518024805841688
1.0,wingman,10765.973121450284,2923.926976312366,1.667962259456765,878.045451768705,0.070261836,-40.486374,-0.0002654934369781128
2.0,lead,6221.683483971385,7051.574753129057,2.604415124456218,797.6317831035008,0.0,0.0,-0.0030474022616716417
2.0,wingman,10652.888240450615,3791.6647966686155,1.745155507271191,871.7869416453958,0.174533,96.5,0.012404105884767239
3.0,lead,5536.895845361764,7459.434514852915,2.604414994476832,796.6023309765545,0.0,0.0,-0.004912091137880807
3.0,wingman,10468.258388839955,4639.378172881441,1.8688676562437665,864.597911327763,-0.086084895,-96.5,0.029336609378599915
4.0,lead,4852.299209546931,7867.18099594863,2.6044141460889065,797.1313055393634,0.0,0.0,-0.006183799470038342
4.0,wingman,10201.14149357192,5457.491585335266,1.8974915174855351,856.2618836675103,0.174533,-86.373856,-0.007951915259034709
5.0,lead,4167.484646429341,8275.057708300816,2.604413503369649,796.9298758580526,0.0,0.0,-0.006914298055804223
5.0,wingman,9913.758825617442,6258.51191786235,1.9294622361816967,845.7516333433825,0.1379527,-69.478935,-0.001206796875009676
6.0,lead,3482.8434974234738,8682.831213121166,2.6044133380320345,796.9545220415989,0.0,0.0,-0.007294492652115641
6.0,wingman,9588.489640000267,7033.236091756546,2.0311914561655966,835.1886029290041,0.174533,76.23714,0.021030015638546215
7.0,lead,2798.092875577854,9090.669710638738,2.6044135414247345,797.0107736770667,0.0,0.0,-0.007460534788049419
7.0,wingman,9185.63811238218,7757.730699911979,2.1983186643914414,823.859147401514,0.06947416,70.17874,0.047601488805709635
8.0,lead,2113.3796448138373,9498.485650723993,2.60441385126009,796.9557009722241,0.0,0.0,-0.007481055339101203
8.0,wingman,8676.600990922456,8396.300085425582,2.399849727686921,811.9899956222883,-0.047481522,48.98439,0.0632968775204651
9.0,lead,1428.6482197987964,9906.312231176375,2.6044140710544643,797.0060700257402,0.0,0.0,-0.007438221521663978
9.0,wingman,8087.636521417213,8948.785268046799,2.396049956040328,804.2577427297639,0.174533,96.5,-0.010771749177109538
10.0,lead,743.9066032349606,10314.144835089552,2.6044141257745173,796.9837564380326,0.0,0.0,-0.007360740287087261
10.0,wingman,7488.868663427383,9482.677873556426,2.42725184890902,801.5187030924607,0.174533,76.77115,-0.0005332302297456281
11.0,lead,59.16998801125294,10721.974524400337,2.604414063640068,796.9978508499589,0.0,0.0,-0.007279012274036002
11.0,wingman,6861.45361760702,9985.286601466176,2.5320135819927154,808.3150205514781,0.174533,96.5,0.023584179785517204
12.0,lead,-625.5768213772322,11129.810384303502,2.6044139644094546,796.9974655567275,0.0,0.0,-0.0072043542092094775
12.0,wingman,6170.90123432314,10421.037752853572,2.698529946379219,830.3200400200292,-0.174533,96.5,0.04671465014607646
13.0,lead,-1310.320398223293,11537.644392677945,2.6044138979708946,796.9973337892515,0.0,0.0,-0.007142399156296079
13.0,wingman,5402.53033166472,10773.555272358859,2.7240489160440378,861.1587768454674,0.015272751,-96.5,-0.011170995651447987
14.0,lead,-1995.067329041047,11945.480426568942,2.604413883062978,797.0005689864346,0.0,0.0,-0.007095254539428901
14.0,wingman,4602.438746625141,11109.662399114985,2.745217336746782,870.2731160572243,-0.174533,96.5,-0.010591028061822301
15.0,lead,-2679.8140765571284,12353.31634494447,2.6044139017261942,796.9990220423695,0.0,0.0,-0.007060973593591471
15.0,wingman,3796.627316423309,11442.297497524738,2.7528766950305172,874.8839454332447,-0.005358547,-2.4675903,-0.009904553415718
16.0,lead,-3364.5610601036765,12761.152386450189,2.6044139256633945,797.0004837947326,0.0,0.0,-0.007037876315414321
16.0,wingman,2990.7899887553735,11803.609636751575,2.685571857595853,896.2069794117652,0.02500607,47.962067,0.006068597235953425
17.0,lead,-4049.3084930480395,13168.98868444506,2.6044139457342492,796.9999596385863,0.0,0.0,-0.007023158894215372
17.0,wingman,2197.901696666768,12234.38803162384,2.6094504804011125,905.0111601138647,0.16189818,17.497696,-6.991859616518512e-05
18.0,lead,-4734.0556167000595,13576.824798520347,2.6044139448814274,797.0001167660977,0.0,0.0,-0.007014599136946544
18.0,wingman,1425.6460110819812,12701.765029375421,2.5886123131124306,899.0243103123922,0.174533,71.642105,-0.012806308796027463
19.0,lead,-5418.80292554959,13984.661030650024,2.604413935039278,797.0000855381943,0.0,0.0,-0.007010233367669946
19.0,wingman,650.1959698771814,13151.813144773427,2.63888182475277,896.0286787120032,-0.174533,-26.645813,0.001079456672787229
20.0,lead,-6103.550054706822,14392.497164236256,2.6044139277981935,796.9999224494902,0.0,0.0,-0.007008519536984388
20.0,wingman,-152.06711909923823,13548.7325250619,2.7381119573486696,893.2442374450336,-0.09660184,-96.5,0.013372710939977174
21.0,lead,-6788.297165633081,14800.333291746803,2.6044139225359437,796.9999391186033,0.0,0.0,-0.007008388638072867
21.0,wingman,-971.6488200066854,13892.717073850177,2.7531684709242583,883.6684226079201,0.174533,31.693298,-0.012583685418829902
22.0,lead,-7473.0442164271335,15208.169383821561,2.6044139235294548,796.9998216121218,0.0,0.0,-0.007009060178172686
22.0,wingman,-1780.984520584872,14233.043520940117,2.7388686476851793,872.0961164230797,-0.10265769,-31.858185,-0.010942285340501182
23.0,lead,-8157.791211259144,15616.005440366689,2.604413924847722,796.9998044077001,0.0,0.0,-0.0070100637638922
23.0,wingman,-2584.5106882156356,14556.598592452152,2.7596626963840727,860.2849931708655,0.174533,96.5,-0.01076187002481919
24.0,lead,-8842.538185598682,16023.841482186826,2.6044139286986856,796.999758677484,0.0,0.0,-0.007011106345141006
24.0,wingman,-3381.370749733492,14866.019350990264,2.7776600277290493,849.9735305500883,-0.012756214,10.128029,-0.004959800607671458
25.0,lead,-9527.285125211298,16431.677501881226,2.6044139286649033,796.9997349288375,0.0,0.0,-0.00701203870488345
25.0,wingman,-4182.626453518345,15137.767247690543,2.8631590885801517,843.0641290139489,-0.1393155,-68.20352,0.014625053987215638
26.0,lead,-10212.032053585921,16839.51351469468,2.604413929326334,796.9997221969265,0.0,0.0,-0.007012799092315235
26.0,wingman,-4991.82167770387,15361.093558569586,2.8799652397509847,835.0924885661065,0.102901295,-43.189133,-0.01104672703400871
27.0,lead,-10896.778968405537,17247.349519933785,2.604413928374449,796.999708921087,0.0,0.0,-0.007013376076653095
27.0,wingman,-5790.186435429634,15588.856714924488,2.8623351269926887,825.2365317455593,0.174533,96.5,-0.007084176310741236
28.0,lead,-11581.525877204567,17655.1855221522,2.604413927334697,796.9997062595174,0.0,0.0,-0.007013788527424162
28.0,wingman,-6577.247645736409,15820.968775542924,2.853896037874307,816.3659748115289,0.16844158,-52.528282,-0.006989504763837588
29.0,lead,-12266.272783026876,18063.02152281265,2.6044139284175047,796.9997023836016,0.0,0.0,-0.007014065434298049
29.0,wingman,-7364.601494579489,16026.431953408248,2.928625594007497,812.8113151958922,0.1519622,96.5,0.012755621501573989
30.0,lead,-12951.019687120208,18470.85752234571,2.6044139273845874,796.9997023580278,0.0,0.0,-0.007014239116980606
30.0,wingman,-8167.5805666607375,16162.550799352506,3.07449328004239,818.4818314599711,-0.1690491,96.5,0.039227849106548335
31.0,lead,-13635.766591692372,18878.693521903686,2.6044139265684993,796.9997025852656,0.0,0.0,-0.007014338646401333
31.0,wingman,-8992.33247980596,16185.785888348206,3.1661231879948923,837.8218478472503,-0.019497737,72.81885,0.004210252506311607
32.0,lead,-14320.51349659922,19286.529521444383,2.604413929011656,796.9997032775857,0.0,0.0,-0.007014388085885575
32.0,wingman,-9845.101887601615,16153.786790723496,3.1818268026160013,868.9762054768963,0.15093853,12.234253,-0.01044223399806472
33.0,lead,-15005.260402433329,19694.365521440042,2.6044139278211365,796.999704344404,0.0,0.0,-0.0070144059672676605
33.0,wingman,-10728.313296416187,16106.782111090035,3.201116889531445,899.5951536993917,-0.12282959,79.91986,-0.006302729052473601
34.0,lead,-15690.007308997152,20102.201521895935,2.6044139276673692,796.9997051001005,0.0,0.0,-0.007014405572107999
34.0,wingman,-11629.608187243328,16031.869962467974,3.227512965656353,905.6097952261367,0.13263987,96.5,-0.012707958997900948
35.0,lead,-16374.754216220266,20510.037522812734,2.6044139275338596,796.9997059087632,0.0,0.0,-0.007014395978844479
35.0,wingman,-12528.247701443599,15944.839004347514,3.2416318479191233,899.1221097806543,-0.14163399,51.608566,-0.007642115115557057
36.0,lead,-17059.501123998463,20917.873524129944,2.604413925127832,796.9997064535837,0.0,0.0,-0.007014382910940572
36.0,wingman,-13418.485858644892,15838.594609937698,3.266673147280377,895.3666262108823,0.05028899,45.421234,-0.012781658558451073
37.0,lead,-17744.24803218016,21325.70952570151,2.604413929442739,796.9997068861123,0.0,0.0,-0.007014369723161066
37.0,wingman,-14310.759288528554,15741.77335051296,3.2480160292946314,900.1702967145321,0.06243688,28.760384,-0.009488924833608213
38.0,lead,-18428.99494068568,21733.54552745405,2.6044139281830354,796.9997071809747,0.0,0.0,-0.007014358125207152
38.0,wingman,-15206.546614115956,15657.116877589457,3.2319352921715727,898.3039167514579,0.038220033,15.81427,-0.011844949779256262
39.0,lead,-19113.74184939407,22141.381529317292,2.6044139252585445,796.9997073648835,0.0,0.0,-0.007014348784210657
39.0,wingman,-16099.00614415437,15556.33836215373,3.2744382201980953,898.9903372605775,-0.174533,96.5,1.4136444485197009e-05
40.0,lead,-19798.48875824053,22549.21753124603,2.6044139301155083,796.9997074833944,0.0,0.0,-0.007014341760856797
40.0,wingman,-16987.986549263882,15421.270881423137,3.3011950430157313,898.5683537709463,-0.174533,-55.849274,-0.013338167117328619
41.0,lead,-20483.2356671634,22957.053533212955,2.6044139272383706,796.9997075407913,0.0,0.0,-0.007014336790149548
41.0,wingman,-17875.974030356578,15298.81840000552,3.258689469373385,893.2315022469028,-0.08746711,-69.71507,-0.00020635311516194015
42.0,lead,-21167.98257611934,23364.889535205202,2.604413928841776,796.9997075687987,0.0,0.0,-0.007014333484567764
42.0,wingman,-18761.963135066675,15232.944622584871,3.145726081932268,883.8491866450541,-0.056629546,68.89815,0.022047364004533363
43.0,lead,-21852.729485087362,23772.725537208335,2.604413924088324,796.9997075738469,0.0,0.0,-0.007014331436337759
43.0,wingman,-19638.49551168824,15272.475494881186,2.9769357683900437,872.2116743840336,-0.05097954,96.5,0.04415229409313305
44.0,lead,-22537.47639404734,24180.56153922241,2.604413928209949,796.9997075682475,0.0,0.0,-0.007014330283151746
44.0,wingman,-20484.17332492346,15453.936574393803,2.7995285095194578,860.3900382746554,0.1478544,96.5,0.045494126707099576
45.0,lead,-23222.22330300087,24588.39754123145,2.604413926985682,796.9997075578674,0.0,0.0,-0.007014329727522946
45.0,wingman,-21295.682389168378,15727.059528250034,2.8079302724950415,852.5014002413551,0.1566074,17.294655,-0.011527876029516479
