t,x,y,heading,v,rudder,throttle
0.0,7590.563356190745,6236.268982395612,2.6044139275968066,797.8393958146152,0.0,0.0
0.0,10842.455715581737,2046.8319755431276,1.6505824278807955,883.996809739825,0.06672022,19.54602
1.0,6906.577861631253,6643.6511944735175,2.6044103738747637,796.1920127223876,0.0,0.0
1.0,10765.973121450284,2923.926976312366,1.667962259456765,878.045451768705,0.070261836,-40.486374
2.0,6221.683483971385,7051.574753129057,2.604415124456218,797.6317831035008,0.0,0.0
2.0,10652.888240450615,3791.6647966686155,1.745155507271191,871.7869416453958,0.174533,96.5
3.0,5536.895845361764,7459.434514852915,2.604414994476832,796.6023309765545,0.0,0.0
3.0,10468.258388839955,4639.378172881441,1.8688676562437665,864.597911327763,-0.086084895,-96.5
4.0,4852.299209546931,7867.18099594863,2.6044141460889065,797.1313055393634,0.0,0.0
4.0,10201.14149357192,5457.491585335266,1.8974915174855351,856.2618836675103,0.174533,-86.373856
5.0,4167.484646429341,8275.057708300816,2.604413503369649,796.9298758580526,0.0,0.0
5.0,9913.758825617442,6258.51191786235,1.9294622361816967,845.7516333433825,0.1379527,-69.478935
6.0,3482.8434974234738,8682.831213121166,2.6044133380320345,796.9545220415989,0.0,0.0
6.0,9588.489640000267,7033.236091756546,2.0311914561655966,835.1886029290041,0.174533,76.23714
7.0,2798.092875577854,9090.669710638738,2.6044135414247345,797.0107736770667,0.0,0.0
7.0,9185.63811238218,7757.730699911979,2.1983186643914414,823.859147401514,0.06947416,70.17874
8.0,2113.3796448138373,9498.485650723993,2.60441385126009,796.9557009722241,0.0,0.0
8.0,8676.600990922456,8396.300085425582,2.399849727686921,811.9899956222883,-0.047481522,48.98439
9.0,1428.6482197987964,9906.312231176375,2.6044140710544643,797.0060700257402,0.0,0.0
9.0,8087.636521417213,8948.785268046799,2.396049956040328,804.2577427297639,0.174533,96.5
10.0,743.9066032349606,10314.144835089552,2.6044141257745173,796.9837564380326,0.0,0.0
10.0,7488.868663427383,9482.677873556426,2.42725184890902,801.5187030924607,0.174533,76.77115
11.0,59.16998801125294,10721.974524400337,2.604414063640068,796.9978508499589,0.0,0.0
11.0,6861.45361760702,9985.286601466176,2.5320135819927154,808.3150205514781,0.174533,96.5
12.0,-625.5768213772322,11129.810384303502,2.6044139644094546,796.9974655567275,0.0,0.0
12.0,6170.90123432314,10421.037752853572,2.698529946379219,830.3200400200292,-0.174533,96.5
13.0,-1310.320398223293,11537.644392677945,2.6044138979708946,796.9973337892515,0.0,0.0
13.0,5402.53033166472,10773.555272358859,2.7240489160440378,861.1587768454674,0.015272751,-96.5
14.0,-1995.067329041047,11945.480426568942,2.604413883062978,797.0005689864346,0.0,0.0
14.0,4602.438746625141,11109.662399114985,2.745217336746782,870.2731160572243,-0.174533,96.5
15.0,-2679.8140765571284,12353.31634494447,2.6044139017261942,796.9990220423695,0.0,0.0
15.0,3796.627316423309,11442.297497524738,2.7528766950305172,874.8839454332447,-0.005358547,-2.4675903
16.0,-3364.5610601036765,12761.152386450189,2.6044139256633945,797.0004837947326,0.0,0.0
16.0,2990.7899887553735,11803.609636751575,2.685571857595853,896.2069794117652,0.02500607,47.962067
17.0,-4049.3084930480395,13168.98868444506,2.6044139457342492,796.9999596385863,0.0,0.0
17.0,2197.901696666768,12234.38803162384,2.6094504804011125,905.0111601138647,0.16189818,17.497696
18.0,-4734.0556167000595,13576.824798520347,2.6044139448814274,797.0001167660977,0.0,0.0
18.0,1425.6460110819812,12701.765029375421,2.5886123131124306,899.0243103123922,0.174533,71.642105
19.0,-5418.80292554959,13984.661030650024,2.604413935039278,797.0000855381943,0.0,0.0
19.0,650.1959698771814,13151.813144773427,2.63888182475277,896.0286787120032,-0.174533,-26.645813
20.0,-6103.550054706822,14392.497164236256,2.6044139277981935,796.9999224494902,0.0,0.0
20.0,-152.06711909923823,13548.7325250619,2.7381119573486696,893.2442374450336,-0.09660184,-96.5
21.0,-6788.297165633081,14800.333291746803,2.6044139225359437,796.9999391186033,0.0,0.0
21.0,-971.6488200066854,13892.717073850177,2.7531684709242583,883.6684226079201,0.174533,31.693298
22.0,-7473.0442164271335,15208.169383821561,2.6044139235294548,796.9998216121218,0.0,0.0
22.0,-1780.984520584872,14233.043520940117,2.7388686476851793,872.0961164230797,-0.10265769,-31.858185
